Year,Month,Day,(DOY),Hour,Month,Day,(DOY),Hour
95,Feb,8,039,5.8,Feb,9,040,0.8
95,Mar,4,63,10.8,Mar,5,64,3.8
95,Apr,3,93,7.8,Apr,4,94,10.8
95,Apr,6,96,7.3,Apr,6,96,17.8
95,May,13,133,10.9,May,13,133,16.4
95,Aug,22,234,21.3,Aug,23,235,19.3
95,Oct,18,291,19.8,Oct,20,293,1.3
95,Dec,16,350,5.3,Dec,16,350,22.3
96,May,27,148,15.3,May,29,150,7.3
96,Jul,1,183,17.3,Jul,2,184,10.3
96,Aug,7,220,12.3,Aug,8,221,10.8
96,Dec,24,359,2.8,Dec,25,360,11.3
97,Jan,10,010,5.3,Jan,11,011,2.3
97,Feb,10,41,3.4,Feb,10,41,18.4
97,Apr,11,101,5.6,Apr,11,101,19.1
97,Apr,21,111,14.5,Apr,23,113,6.5
97,May,15,135,9.1,May,16,136,1.1
97,May,16,136,6.1,May,16,136,13.9
97,Jun,9,160,2.3,Jun,9,160,23.3
97,Jun,19,170,5.1,Jun,19,170,15.9
97,Jul,15,196,8.8,Jul,15,196,23.8
97,Aug,3,215,14.1,Aug,4,216,1.9
97,Sep,18,261,0.5,Sep,20,263,12.5
97,Sep,22,265,0.8,Sep,22,265,17.3
97,Oct,1,274,16.3,Oct,2,275,22.8
97,Oct,10,283,23.8,Oct,12,285,0.8
97,Nov,7,311,15.8,Nov,8,312,4.3
97,Nov,8,312,4.9,Nov,8,312,14.9
97,Nov,22,326,15.8,Nov,23,327,12.3
98,Jan,7,7,3.3,Jan,8,8,8.3
98,Jan,8,8,14.9,Jan,8,8,21.6
98,Feb,4,035,4.5,Feb,5,036,22.5
98,Mar,4,63,14.3,Mar,6,65,6.3
98,May,2,122,12.3,May,3,123,17.3
98,Jun,2,153,10.6,Jun,2,153,15.9
98,Jun,24,175,16.8,Jun,25,176,21.8
98,Aug,20,232,10.3,Aug,21,233,19.3
98,Sep,25,268,10.3,Sep,26,269,13.3
98,Oct,19,292,5.1,Oct,19,292,14.6
98,Nov,8,312,23.8,Nov,10,314,1.3
99,Feb,18,49,14.3,Feb,19,50,12.3
99,Apr,16,106,20.3,Apr,17,107,21.3
99,Aug,9,221,10.8,Aug,10,222,15.8
99,Sep,21,264,21.1,Sep,22,265,5.1
00,Feb,12,043,17.1,Feb,13,044,0.6
00,Feb,21,52,9.8,Feb,22,53,13.3
00,Jun,24,176,8.3,Jun,25,177,20.3
00,Jul,1,183,8.8,Jul,2,184,3.3
00,Jul,15,197,6.8,Jul,15,197,14.3
00,Jul,15,197,21.1,Jul,16,198,9.9
00,Jul,28,210,21.1,Jul,29,211,10.1
00,Aug,1,214,0.1,Aug,1,214,15.9
00,Aug,12,225,6.1,Aug,13,226,5.1
00,Sep,18,262,1.9,Sep,18,262,15.1
00,Oct,3,277,17.1,Oct,4,278,14.1
00,Oct,13,287,18.4,Oct,14,288,16.9
00,Oct,28,302,23.3,Oct,30,304,0.3
00,Nov,6,311,23.1,Nov,7,312,18.1
01,Mar,19,78,23.3,Mar,20,79,18.3
01,Mar,20,79,17.8,Mar,22,81,14.8
01,Apr,4,94,20.9,Apr,5,95,8.4
01,Apr,12,102,7.9,Apr,12,102,17.9
01,Apr,22,112,0.9,Apr,23,113,1.4
01,Apr,29,119,1.9,Apr,29,119,12.9
01,May,28,148,11.9,May,29,149,10.4
01,Jul,10,191,17.3,Jul,12,193,8.8
01,Oct,31,304,21.3,Nov,2,306,10.3
01,Nov,24,328,15.8,Nov,25,329,13.3
02,Mar,19,78,22.9,Mar,20,79,15.4
02,Mar,24,83,3.8,Mar,25,84,22.8
02,Apr,18,108,4.3,Apr,19,109,2.3
02,Apr,20,110,11.8,Apr,21,111,16.8
02,May,19,139,3.9,May,19,139,23.4
02,May,23,143,23.4,May,24,144,16.9
02,Aug,1,213,11.9,Aug,1,213,22.6
02,Aug,2,214,7.4,Aug,2,214,21.1
02,Sep,3,246,0.3,Sep,3,246,18.8
02,Sep,30,273,22.6,Oct,1,274,11.9
03,Mar,20,079,11.9,Mar,20,079,22.4
03,Jun,17,168,17.8,Jun,18,169,8.3
03,Jul,10,191,19.9,Jul,11,192,8.9
03,Aug,18,230,11.6,Aug,19,231,4.4
03,Nov,20,324,10.8,Nov,21,325,2.3
04,Apr,4,95,2.8,Apr,5,96,14.8
04,Jul,22,204,15.4,Jul,22,204,23.1
04,Jul,24,206,12.8,Jul,25,207,13.3
04,Aug,29,242,18.7,Aug,30,243,20.8
04,Nov,8,313,3.4,Nov,8,313,16.6
04,Nov,9,314,20.9,Nov,10,315,3.4
04,Nov,10,315,3.6,Nov,10,315,11.1
05,May,15,135,5.7,May,15,135,22.3
05,May,20,140,7.3,May,21,141,5.3
05,Jun,12,163,15.6,Jun,13,164,7.1
05,Jun,15,166,5.8,Jun,16,167,7.8
05,Jul,17,198,15.3,Jul,18,199,3.8
05,Oct,31,304,2.9,Oct,31,304,20.4
05,Dec,31,365,14.8,Jan,1,1,10.8
06,Feb,5,36,19.1,Feb,6,37,13.1
06,Apr,13,103,14.8,Apr,13,103,20.8
06,Apr,13,103,20.6,Apr,14,104,9.9
06,Aug,30,242,21.1,Aug,31,243,14.9
06,Sep,30,273,8.6,Sep,30,273,21.6
06,Dec,14,348,22.8,Dec,15,349,19.8
07,Mar,24,83,3.1,Mar,24,83,16.9
07,May,21,141,22.9,May,22,142,13.6
07,Nov,19,323,23.4,Nov,20,324,12.9
